Datetime,Position
2025-06-02 13:45:00,1
2025-06-02 13:45:00,1
2025-06-03 13:45:00,0
2025-06-03 13:45:00,0
2025-06-04 13:45:00,1
2025-06-04 13:45:00,1
2025-06-05 13:45:00,1
2025-06-05 13:45:00,1
2025-06-06 13:45:00,0
2025-06-06 13:45:00,0
2025-06-09 13:45:00,0
2025-06-09 13:45:00,0
2025-06-10 13:45:00,1
2025-06-11 13:45:00,0
2025-06-12 13:45:00,0
2025-06-13 13:45:00,0
2025-06-16 13:45:00,0
2025-06-17 13:45:00,0
2025-06-19 13:45:00,1
2025-06-20 13:45:00,0
