TradeID,OrderID,OrderType,Signal,Date,Time,Price,Quantity,Profit,ProfitPct,CumulativeProfit,CumulativeProfitPct,MaxPotentialProfit,MaxPotentialProfitPct,MaxPotentialLoss,MaxPotentialLossPct
27,53,Enter Short,SE_NON2,2002/2/22,08:55:00 AM,5585,2,-6000,-0.268576544,258200,258.2,16200,0.72515667,-27000,-1.208594449
,54,Exit Short,SX_K,2002/2/25,10:35:00 AM,5595,2,,,,,,,,
28,55,Enter Short,SE_NON2,2002/2/22,08:55:00 AM,5585,1,-23400,-2.094897046,234800,234.8,19900,1.781557744,-22900,-2.050134288
,56,Exit Short,SX_S,2002/2/27,01:25:00 PM,5697,1,,,,,,,,
29,57,Enter Short,SE_NON2,2002/4/10,01:45:00 PM,6015,2,-400,-0.016625104,234400,234.4,15000,0.623441397,-22600,-0.939318371
,58,Exit Short,SX_K,2002/4/12,10:25:00 AM,6011,2,,,,,,,,
30,59,Enter Short,SE_NON2,2002/4/10,01:45:00 PM,6015,1,-9400,-0.781379884,225000,225,7500,0.623441397,-11300,-0.939318371
,60,Exit Short,SX,2002/4/12,11:35:00 AM,6057,1,,,,,,,,
31,61,Enter Short,SE_NON,2002/4/30,10:05:00 AM,6150,2,94800,3.853658537,319800,319.8,106600,4.333333333,-1000,-0.040650407
,62,Exit Short,SX_P,2002/5/2,01:05:00 PM,5908,2,,,,,,,,
32,63,Enter Short,SE_NON,2002/4/30,10:05:00 AM,6150,1,79200,6.43902439,399000,399,125500,10.20325203,-500,-0.040650407
,64,Exit Short,SX_K,2002/5/8,08:55:00 AM,5749,1,,,,,,,,
33,65,Enter Short,SE_NON2,2002/5/8,01:45:00 PM,5720,3,-99000,-2.884615385,300000,300,0,0,-97500,-2.840909091
,66,Exit Short,SX_S,2002/5/9,08:55:00 AM,5880,3,,,,,,,,
34,67,Enter Short,SE_NON2,2002/5/9,01:45:00 PM,5758,3,-72600,-2.101424106,227400,227.4,61500,1.78013199,-71100,-2.058006252
,68,Exit Short,SX_S,2002/5/15,09:25:00 AM,5874,3,,,,,,,,
35,69,Enter Short,SE_NON,2002/5/28,11:15:00 AM,5665,1,52000,4.589585172,279400,279.4,54300,4.792586055,-13500,-1.19152692
,70,Exit Short,SX_3,2002/6/4,09:05:00 AM,5400,1,,,,,,,,
