TradeID,OrderID,OrderType,Signal,Date,Time,Price,Quantity,Profit,ProfitPct,CumulativeProfit,CumulativeProfitPct,MaxPotentialProfit,MaxPotentialProfitPct,MaxPotentialLoss,MaxPotentialLossPct
25.0,49,Enter Short,SE_NON2,2001/10/4,08:55:00 AM,3620,2,47600.0,3.287292818,280800.0,280.8,59000.0,4.074585635,-1000.0,-0.069060773
,50,Exit Short,SX_P,2001/10/5,08:55:00 AM,3496,2,,,,,,,,
26.0,51,Enter Short,SE_NON2,2001/10/4,08:55:00 AM,3620,1,-16600.0,-2.29281768,264200.0,264.2,31500.0,4.350828729,-16100.0,-2.223756906
,52,Exit Short,SX_S,2001/10/11,08:55:00 AM,3698,1,,,,,,,,
27.0,53,Enter Short,SE_NON2,2002/2/22,08:55:00 AM,5585,2,-6000.0,-0.268576544,258200.0,258.2,16200.0,0.72515667,-27000.0,-1.208594449
,54,Exit Short,SX_K,2002/2/25,10:35:00 AM,5595,2,,,,,,,,
28.0,55,Enter Short,SE_NON2,2002/2/22,08:55:00 AM,5585,1,-23400.0,-2.094897046,234800.0,234.8,19900.0,1.781557744,-22900.0,-2.050134288
,56,Exit Short,SX_S,2002/2/27,01:25:00 PM,5697,1,,,,,,,,
29.0,57,Enter Short,SE_NON2,2002/4/10,01:45:00 PM,6015,2,-400.0,-0.016625104,234400.0,234.4,15000.0,0.623441397,-22600.0,-0.939318371
,58,Exit Short,SX_K,2002/4/12,10:25:00 AM,6011,2,,,,,,,,
30.0,59,Enter Short,SE_NON2,2002/4/10,01:45:00 PM,6015,1,-9400.0,-0.781379884,225000.0,225.0,7500.0,0.623441397,-11300.0,-0.939318371
,60,Exit Short,SX,2002/4/12,11:35:00 AM,6057,1,,,,,,,,
31.0,61,Enter Short,SE_NON,2002/4/30,10:05:00 AM,6150,2,94800.0,3.853658537,319800.0,319.8,106600.0,4.333333333,-1000.0,-0.040650407
,62,Exit Short,SX_P,2002/5/2,01:05:00 PM,5908,2,,,,,,,,
32.0,63,Enter Short,SE_NON,2002/4/30,10:05:00 AM,6150,1,79200.0,6.43902439,399000.0,399.0,125500.0,10.20325203,-500.0,-0.040650407
,64,Exit Short,SX_K,2002/5/8,08:55:00 AM,5749,1,,,,,,,,
33.0,65,Enter Short,SE_NON2,2002/5/8,01:45:00 PM,5720,3,-99000.0,-2.884615385,300000.0,300.0,0.0,0.0,-97500.0,-2.840909091
,66,Exit Short,SX_S,2002/5/9,08:55:00 AM,5880,3,,,,,,,,
34.0,67,Enter Short,SE_NON2,2002/5/9,01:45:00 PM,5758,3,-72600.0,-2.101424106,227400.0,227.4,61500.0,1.78013199,-71100.0,-2.058006252
,68,Exit Short,SX_S,2002/5/15,09:25:00 AM,5874,3,,,,,,,,
35.0,69,Enter Short,SE_NON,2002/5/28,11:15:00 AM,5665,1,52000.0,4.589585172,279400.0,279.4,54300.0,4.792586055,-13500.0,-1.19152692
,70,Exit Short,SX_3,2002/6/4,09:05:00 AM,5400,1,,,,,,,,
36.0,71,Enter Short,SE_NON,2002/5/28,11:15:00 AM,5665,1,47800.0,4.218887908,327200.0,327.2,54300.0,4.792586055,-13500.0,-1.19152692
,72,Exit Short,SX_P,2002/6/4,09:15:00 AM,5421,1,,,,,,,,
37.0,73,Enter Short,SE_NON,2002/5/28,11:15:00 AM,5665,1,14200.0,1.253309797,341400.0,341.4,54300.0,4.792586055,-13500.0,-1.19152692
,74,Exit Short,SX_K,2002/6/5,09:05:00 AM,5589,1,,,,,,,,
38.0,75,Enter Short,SE_NON2,2002/6/6,01:45:00 PM,5562,1,21400.0,1.923768429,362800.0,362.8,71300.0,6.409564905,-2100.0,-0.188781014
,76,Exit Short,SX_3,2002/6/7,09:25:00 AM,5450,1,,,,,,,,
39.0,77,Enter Short,SE_NON2,2002/6/6,01:45:00 PM,5562,1,16400.0,1.474289824,379200.0,379.2,71300.0,6.409564905,-2100.0,-0.188781014
,78,Exit Short,SX_K,2002/6/13,08:55:00 AM,5475,1,,,,,,,,
40.0,79,Enter Short,SE_NON2,2002/6/6,01:45:00 PM,5562,1,40400.0,3.631787127,419600.0,419.6,71300.0,6.409564905,-20700.0,-1.860841424
,80,Exit Short,SX_P,2002/6/20,09:05:00 AM,5355,1,,,,,,,,
41.0,81,Enter Short,SE_NON,2002/6/24,10:15:00 AM,5340,3,-67200.0,-2.097378277,352400.0,352.4,4500.0,0.140449438,-65700.0,-2.050561798
,82,Exit Short,SX_S,2002/6/25,08:55:00 AM,5447,3,,,,,,,,
42.0,83,Enter Short,SE_NON,2002/6/25,10:05:00 AM,5340,1,17000.0,1.5917603,369400.0,369.4,19100.0,1.788389513,-15500.0,-1.451310861
,84,Exit Short,SX_3,2002/6/26,09:05:00 AM,5250,1,,,,,,,,
43.0,85,Enter Short,SE_NON,2002/6/25,10:05:00 AM,5340,1,41400.0,3.876404494,410800.0,410.8,46500.0,4.353932584,-15500.0,-1.451310861
,86,Exit Short,SX_P,2002/6/26,11:45:00 AM,5128,1,,,,,,,,
44.0,87,Enter Short,SE_NON,2002/6/25,10:05:00 AM,5340,1,29800.0,2.790262172,440600.0,440.6,55500.0,5.196629213,-15500.0,-1.451310861
,88,Exit Short,SX_K,2002/6/28,08:55:00 AM,5186,1,,,,,,,,
45.0,89,Enter Short,SE_NON,2002/7/1,10:05:00 AM,4968,1,11400.0,1.147342995,452000.0,452.0,21100.0,2.123590982,-4900.0,-0.4931562
,90,Exit Short,SX_3,2002/7/2,09:05:00 AM,4906,1,,,,,,,,
46.0,91,Enter Short,SE_NON,2002/7/1,10:05:00 AM,4968,1,-4800.0,-0.483091787,447200.0,447.2,35300.0,3.55273752,-6900.0,-0.694444444
,92,Exit Short,SX_K,2002/7/3,12:15:00 PM,4987,1,,,,,,,,
47.0,93,Enter Short,SE_NON,2002/7/1,10:05:00 AM,4968,1,-21000.0,-2.11352657,426200.0,426.2,35300.0,3.55273752,-20500.0,-2.063204509
,94,Exit Short,SX_S,2002/7/4,08:55:00 AM,5068,1,,,,,,,,
48.0,95,Enter Short,SE_NON,2002/7/16,10:35:00 AM,5318,2,78400.0,3.685596089,504600.0,504.6,89400.0,4.202707785,-9000.0,-0.423091388
,96,Exit Short,SX_P,2002/7/19,09:15:00 AM,5117,2,,,,,,,,
49.0,97,Enter Short,SE_NON,2002/7/16,10:35:00 AM,5318,1,23400.0,2.200075216,528000.0,528.0,69100.0,6.49680331,-4500.0,-0.423091388
